region_code,region_name,reporting_year,poverty_line,reporting_pop,headcount,poverty_gap,poverty_severity,watts,mean,spr,pg,pop_in_poverty,estimate_type
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2008,3,597799097,0.14645376494176998,0.03315136437251579,0.011602926356649062,0.0421395735512939,12.663870358204411,0.2779095338290549,5.457711875980111,87549928,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2009,3,612128501,0.1519991001500494,0.03445400719965202,0.011913194907396039,0.04354880070292154,12.154122845873584,0.27682066848779185,5.434983334264601,93042981,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2010,3,624828664,0.13340643028399532,0.02898706002370574,0.00986629527302715,0.036525159156089546,11.997769356652412,0.2636049645738563,5.231684826682223,83356162,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2011,3,639053870,0.1295636526833383,0.02832349697543894,0.009704286009628109,0.03574963013972154,12.169616930132733,0.25821918590251236,5.185893226732773,82798154,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2012,3,653273442,0.12270913265110059,0.0265045240263181,0.0090011844149415,0.03335098719692186,12.184736591374962,0.251922323183008,5.097401719202994,80162617,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2013,3,667464006,0.11603502503344071,0.025275319192171606,0.008604423834786669,0.03180783940104072,12.215655347824761,0.24761152726638574,5.071751986635377,77449203,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2014,3,680716578,0.11462888538318027,0.025190721846626813,0.0087540212960489,0.03189265526983282,12.401013683269234,0.24810524795438435,5.0594233822059085,78029783,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2015,3,694232973,0.11304115966415892,0.026229916617135106,0.00965136674703561,0.033823020837103646,12.66414215864756,0.25007630503679634,5.040876482431976,78476900,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2016,3,707023525,0.11297637808811244,0.027221103412769312,0.01038349011065738,0.03551289696513341,12.794030079817345,0.2526984254313179,5.094761658197859,79876957,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2017,3,718887744,0.11040857403980621,0.02701143245901551,0.010454012497013849,0.03544740921848015,12.91785055351821,0.2523477080600362,5.0705537028429095,79371371,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2018,3,730362334,0.11040277838371178,0.027183622837694574,0.010601091249137017,0.035786081895087495,12.99263456925145,0.25173051651353373,5.077926566741392,80634031,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2019,3,742714463,0.11401339488072362,0.027961347600034277,0.01088353052360516,0.03680006170156568,12.921716611438098,0.25336651160790713,5.1146312037589405,84679397,actual
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2020,3,756405281,0.12053811369257118,0.03091607013545916,0.012477840638399884,0.041227991863849116,12.32199943890167,0.2589316589635232,5.30228031843848,91175666,projection
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2021,3,767578451,0.12011555144278235,0.032344458086724544,0.013579466276104098,0.0437864237534503,12.563219791187707,0.2596807075712187,5.32001707513394,92198109,projection
