"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1275405883789","98.8329696655273","97.0246734619141","95.4701385498047","94.4293518066406","99.4612808227539","97.3307266235352","100.205062866211","97.5935821533203","99.1608428955078","","","94.0547790527344","101.321281433105","","","","96.1325988769531","101.90274810791","104.266471862793","95.7777786254883","93.8329391479492","","",
"Africa Eastern and Southern","AFE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","43.1147613525391","43.7702102661133","44.7591781616211","45.6476783752441","46.4347686767578","47.7519187927246","49.0872993469238","51.415168762207","51.9987297058105","53.3246002197266","54.392749786377","55.0210418701172","58.0779190063477","54.4851303100586","54.1344108581543","53.1109008789062","51.7135200500488","50.1790008544922","50.7724800109863","51.1672515869141","49.8265113830566","51.0536499023438","49.874870300293","50.2301712036133","50.5666007995605","50.1417198181152","48.9066390991211","48.8597106933594","49.0121917724609","51.1886901855469","52.7880783081055","54.2868881225586","55.4729194641113","57.7194213867188","59.8370513916016","61.481861114502","64.5043869018555","68.0193099975586","67.7394180297852","66.6150817871094","66.2546463012695","65.8006210327148","66.1218338012695","65.9160919189453","66.3104476928711","67.4052124023438","68.8943099975586","69.6575927734375","70.800651550293","71.7907333374023","71.0935134887695","70.4420471191406","70.5337371826172",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","17.0585193634033","","","18.0157699584961","19.6335601806641","","26.3158493041992","33.8830986022949","","","19.7956600189209","19.2908706665039","","","","","","","","31.666389465332","","","","","","","","","","","","","","","","","","","","","","","83.4359664916992","88.2425765991211","89.8436279296875","88.8901214599609","","","","","",
"Africa Western and Central","AFW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","51.7697410583496","51.7285385131836","51.4026985168457","51.2606582641602","50.7538909912109","51.7438507080078","52.3871994018555","53.0721092224121","54.2644996643066","54.1994285583496","54.4653816223145","54.9981307983398","55.2400093078613","55.4135208129883","55.4496002197266","55.3497695922852","55.8098602294922","56.0369911193848","56.1451416015625","55.9629707336426","56.3856086730957","56.5944213867188","56.9765586853027","57.0298118591309","56.9541511535645","56.612491607666","57.2196197509766","57.2358512878418","57.3857192993164","57.6798095703125","58.4778518676758","59.2577018737793","59.4561614990234","59.6002311706543","60.3057899475098","62.1272087097168","65.6695098876953","62.551139831543","59.5222396850586","62.146541595459","63.1765785217285","64.3003768920898","65.0124130249023","65.3945083618164","65.8990325927734","66.7500686645508","67.3451232910156","66.6828536987305","66.4673233032227","66.3479232788086","66.592399597168","67.2360916137695","66.0412368774414","66.4375305175781","66.646728515625",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","48.064510345459","43.1619606018066","","","","","","","","","32.5711708068848","","","","","","","","","","","","","","","","","42.0463600158691","41.7748107910156","43.0581956100768","49.9452277889684","","","","","","","","","","60.0259394365677","","47.8556786596463","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.427757263184","105.375846862793","","","108.387466430664","109.742630004883","108.645553588867","102.078805224989","100.500959283735","117.008465181901","91.1192101863813","105.693672858903","98.7887867553705","99.5973586728942","106.449693580056","102.89417505337","98.717525153927","99.2719284481406","97.2184448015824","101.176280497657","95.1351520460518","107.345321655273",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.149482727051","105.465286254883","97.2185363769531","","","","","","","","","","65.1785714285714","65.4046997389034","69.220607661823","66.0691421254802","67.7461139896373","65.1436031331593","62.6398210290828","62.5899280575539","","69.4174757281553","67.3548387096774",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","60.1427001953125","59.7624206542969","59.1708602905273","59.777961730957","59.9752388000488","62.4921913146973","63.9855499267578","65.6955490112305","64.8759536743164","60.9360313415527","63.5197792053223","66.2732925415039","66.405517578125","67.0335388183594","68.6038970947266","71.8768081665039","70.7822265625","70.3940811157227","70.9829025268555","71.2002182006836","72.2008819580078","71.9734268188477","72.4944534301758","72.4854736328125","72.9339294433594","73.6461563110352","74.5153884887695","74.9983215332031","75.7185134887695","76.4462509155273","75.8363800048828","76.507698059082","76.9458236694336","78.8697814941406","80.3446578979492","81.3345413208008","79.5800628662109","81.3306579589844","82.7405624389648","80.9262390136719","81.4851989746094","81.6125106811523","82.7023620605469","78.4508666992188","78.4920196533203","77.7366027832031","77.3814697265625","77.3754577636719","78.386360168457","78.6826782226562","79.8448791503906","79.9189224243164","81.1133193969727","81.88037109375","83.1461334228516",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.732223510742","108.380546569824","97.704963684082","94.6663131713867","92.9555816650391","89.105842590332","","","","","","","","","","","","105.077405010456","99.7345915659098","99.8548679378418","97.4315919891101","102.456393452687","99.1737916980463","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.6264266967773","72.2983627319336","","","75.3874282836914","78.277458190918","77.9944305419922","","","","","","","","","","","","","","","","","","97.0644836425781","","92.1680908203125","91.6784515380859","100.947761535645","99.2698822021484","98.7339019775391","98.4240188598633","101.160697937012","98.9721527099609","97.3868179321289","94.5341262817383","95.6887130737305","98.5453414916992","102.319679260254","102.965492248535","103.31336478821","103.299525536147","103.663843793221","103.278045218399","105.369846292036","105.966493596972","106.53556124907","101.523895644883","100.145531751709","100.286471247217","99.8427784444202","102.877639887141","100.310147105379","98.9436486948575","",
